Time,Pack V,Bus V,SOC,SOH,SOUE,Current,ChCLmt,DchCLmt,Aux. V,Max. CV,Min. CV,Dev. CV,Ave. CV,Max. CT,Min. CT,Dev. CT,Ave. CT,Iso. R,Board T,Max. ChV,Min. DchV,Max. I,Chg. kWh,Dch. kWh,Real V,Real I,Max DI,Max CI,P1_H_State,P1_H_Temp,P1_H_Current,P2_H_State,P2_H_Temp,P2_H_Current,P1S1 Cont. State,P1S2 Cont. State,P2S1 Cont. State,P2S2 Cont. State,P3S1 Cont. State,P3S2 Cont. State,Fan State,Heater State,Sys. State,WF State,P1 Warning,P1 Fault,P2 Warning,P2 Fault,P3 Warning,P3 Fault,MBMS_Warning,MBMS_Fault,S1_Vol,S1_SOC,S1_SOH,S1_CycleCnt,S1_Current,S1_ChCLmt,S1_DchCLmt,S1_Max. CV,S1_Min. CV,S1_Dev. CV,S1_Ave. CV,S1_Max. CT,S1_Min. CT,S1_Dev. CT,S1_Ave. CT,S2_Vol,S2_SOC,S2_SOH,S2_CycleCnt,S2_Current,S2_ChCLmt,S2_DchCLmt,S2_Max. CV,S2_Min. CV,S2_Dev. CV,S2_Ave. CV,S2_Max. CT,S2_Min. CT,S2_Dev. CT,S2_Ave. CT,
20-11-05 15:58:25,358.153,357.909,44,100,41,-0.7,80,160,23.796,3.733,3.723,0.01,3.726,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,358.153,48,100,5,0,40,80,3.733,3.726,0.007,3.728,28,27,1,27,358.153,44,100,9,-0.7,40,80,3.73,3.723,0.007,3.726,28,26,2,26,
20-11-05 15:58:29,358.153,357.909,44,100,41,-0.7,80,160,23.789,3.733,3.723,0.01,3.726,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,357.909,48,100,5,0,40,80,3.733,3.726,0.007,3.728,28,27,1,27,358.153,44,100,9,-0.7,40,80,3.73,3.723,0.007,3.726,28,26,2,26,
20-11-05 15:58:35,358.642,358.886,48,100,41,4.5,80,160,23.796,3.743,3.73,0.013,3.73,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,358.153,48,100,5,0.1,40,80,3.733,3.726,0.007,3.728,28,27,1,27,357.909,44,100,9,-0.7,40,80,3.73,3.723,0.007,3.726,28,26,2,26,
20-11-05 15:58:40,358.886,358.886,48,100,41,4.5,80,160,23.789,3.745,3.733,0.012,3.733,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,358.886,48,100,5,0,40,80,3.743,3.733,0.01,3.733,28,27,1,27,358.886,44,100,9,4.6,40,80,3.738,3.733,0.005,3.733,28,26,2,26,
20-11-05 15:58:45,358.886,358.886,48,100,41,4.5,80,160,23.804,3.745,3.733,0.012,3.733,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.13,48,100,5,0,40,80,3.745,3.733,0.012,3.735,28,27,1,27,358.886,44,100,9,4.6,40,80,3.738,3.733,0.005,3.733,28,26,2,26,
20-11-05 15:58:50,358.886,358.886,48,100,41,4.4,80,160,23.789,3.745,3.733,0.012,3.733,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.13,48,100,5,0,40,80,3.745,3.735,0.01,3.735,28,27,1,27,359.13,44,100,9,4.5,40,80,3.74,3.733,0.007,3.733,28,26,2,26,
20-11-05 15:58:55,359.13,358.886,48,100,41,4.4,80,160,23.796,3.748,3.733,0.015,3.735,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.13,48,100,5,-0.1,40,80,3.745,3.735,0.01,3.735,28,27,1,27,359.13,44,100,9,4.5,40,80,3.74,3.733,0.007,3.733,28,26,2,26,
20-11-05 15:59:00,359.13,358.886,48,100,41,4.4,80,160,23.804,3.748,3.733,0.015,3.735,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.13,48,100,5,0,40,80,3.748,3.738,0.01,3.738,28,27,1,27,359.13,44,100,9,4.5,40,80,3.74,3.733,0.007,3.735,28,26,2,26,
20-11-05 15:59:05,359.13,359.13,48,100,41,4.5,80,160,23.804,3.748,3.735,0.013,3.735,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.13,48,100,5,0,40,80,3.748,3.738,0.01,3.738,28,27,1,27,359.13,44,100,9,4.5,40,80,3.74,3.735,0.005,3.735,28,26,2,26,
20-11-05 15:59:10,359.13,359.13,48,100,41,4.4,80,160,23.796,3.748,3.735,0.013,3.735,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.374,48,100,5,0,40,80,3.748,3.738,0.01,3.738,28,27,1,27,359.13,44,100,9,4.4,40,80,3.74,3.735,0.005,3.735,28,26,2,26,
20-11-05 15:59:15,359.374,359.13,48,100,41,4.5,80,160,23.796,3.75,3.738,0.012,3.738,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.374,48,100,5,0,40,80,3.748,3.738,0.01,3.738,28,27,1,27,359.13,44,100,9,4.6,40,80,3.74,3.735,0.005,3.735,28,26,2,26,
20-11-05 15:59:20,359.374,359.374,48,100,41,4.5,80,160,23.789,3.75,3.738,0.012,3.738,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.374,48,100,5,-0.2,40,80,3.75,3.738,0.012,3.738,28,27,1,27,359.374,44,100,9,4.5,40,80,3.74,3.738,0.002,3.738,28,26,2,26,
20-11-05 15:59:25,359.374,359.374,48,100,41,4.5,80,160,23.804,3.75,3.738,0.012,3.738,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.618,48,100,5,-0.2,40,80,3.75,3.738,0.012,3.74,28,27,1,27,359.374,44,100,9,4.6,40,80,3.743,3.738,0.005,3.738,28,26,2,26,
20-11-05 15:59:30,359.374,359.374,48,100,41,4.4,80,160,23.796,3.75,3.738,0.012,3.738,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.618,48,100,5,-0.1,40,80,3.75,3.738,0.012,3.74,28,27,1,27,359.374,44,100,9,4.6,40,80,3.743,3.738,0.005,3.738,28,26,2,26,
20-11-05 15:59:35,359.374,359.374,48,100,41,4.6,80,160,23.804,3.75,3.738,0.012,3.738,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.618,48,100,5,0,40,80,3.75,3.74,0.01,3.74,28,27,1,27,359.374,44,100,9,4.5,40,80,3.743,3.738,0.005,3.738,28,26,2,26,
20-11-05 15:59:40,359.374,359.374,48,100,41,4.5,80,160,23.804,3.75,3.738,0.012,3.738,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.618,48,100,5,0,40,80,3.75,3.74,0.01,3.74,28,26,2,27,359.374,44,100,9,4.6,40,80,3.745,3.738,0.007,3.738,28,26,2,26,
20-11-05 15:59:45,359.374,359.374,48,100,41,4.5,80,160,23.789,3.75,3.738,0.012,3.738,28,26,2,26,10000,28,40,30,160,1490,1510,0,0,0,0,Idle,000,000.00,Idle,000,000.00,Close,Close,Open,Open,Open,Open,0x0,0x0,Drive,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,359.618,48,100,5,0,40,80,3.75,3.74,0.01,3.74,28,26,2,27,359.618,44,100,9,4.5,40,80,3.745,3.738,0.007,3.738,28,26,2,26,
